"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,4.80428117833247,6.35773564696378
2,6.45110069727986,7.26323726876784
3,7.16377542222706,7.52934093453502
4,7.07099283165723,8.32146750262743
5,6.77003713158314,8.99582011578136
6,6.67724152880853,9.3643312426022
7,6.6867541491479,9.54148520186336
8,6.69527740234519,9.64286937345925
9,6.73502906415733,9.71239497914868
10,6.75284654170525,9.75138466867677
